State,Year,Total_Flood_Events,Total_Fatalities,Mean_Duration_Days,Annual_Tree_Loss_ha,Annual_Percent_Tree_Loss,Indo_Event_Count,Annual_Rainfall,Monsoon_Rainfall,Max_Daily_Rainfall,Lagged_Annual_Tree_Loss_ha,Lagged_Annual_Percent_Tree_Loss,Lagged_Annual_Rainfall,Lagged_Monsoon_Rainfall
Andhra Pradesh,2001,0.0,0.0,0.0,1098.4,0.0993207416141609,2.0,786.7552864810694,491.3997264523869,90.38911170959472,,,,
Andhra Pradesh,2002,0.0,0.0,0.0,1098.4,0.0993207416141609,0.0,589.0492852200632,397.1180930717484,66.02132520675659,1098.4,0.0993207416141609,786.7552864810694,491.3997264523869
Andhra Pradesh,2003,0.0,0.0,0.0,1098.4,0.0993207416141609,3.0,767.9159510112975,539.3614061299874,75.9026554107666,1098.4,0.0993207416141609,589.0492852200632,397.1180930717484
Andhra Pradesh,2004,2.0,14.0,2.5,1098.4,0.0993207416141609,1.0,650.4070508969219,416.8854392553153,69.57787818908692,1098.4,0.0993207416141609,767.9159510112975,539.3614061299874
Andhra Pradesh,2005,1.0,9.0,1.0,1098.4,0.0993207416141609,7.0,1018.8786328104528,660.2830923983585,122.9097385406494,1098.4,0.0993207416141609,650.4070508969219,416.8854392553153
Andhra Pradesh,2006,1.0,200.0,7.0,1916.0,0.1732506745563842,11.0,830.7641225382686,529.7042363584042,117.77972478866576,1098.4,0.0993207416141609,1018.8786328104528,660.2830923983585
Andhra Pradesh,2007,4.0,12.0,1.25,1916.0,0.1732506745563842,13.0,836.1879790665015,649.9473848355854,99.56942558288574,1916.0,0.1732506745563842,830.7641225382686,529.7042363584042
Andhra Pradesh,2008,1.0,66.0,7.0,1916.0,0.1732506745563842,7.0,914.0502443818942,599.8374545574188,97.31157970428468,1916.0,0.1732506745563842,836.1879790665015,649.9473848355854
Andhra Pradesh,2009,1.0,49.0,7.0,1916.0,0.1732506745563842,9.0,586.5514685838767,427.5197839225116,63.15831537246704,1916.0,0.1732506745563842,914.0502443818942,599.8374545574188
Andhra Pradesh,2010,1.0,14.0,1.0,1916.0,0.1732506745563842,8.0,1211.2236384467583,803.8893074218346,119.01439990997316,1916.0,0.1732506745563842,586.5514685838767,427.5197839225116
Andhra Pradesh,2011,0.0,0.0,0.0,1758.2,0.1589819081445901,2.0,686.876213465048,519.1449333973553,72.30496063232422,1916.0,0.1732506745563842,1211.2236384467583,803.8893074218346
Andhra Pradesh,2012,6.0,64.0,2.0,1758.2,0.1589819081445901,1.0,913.6324006911854,608.6153003003286,109.09189834594729,1758.2,0.1589819081445901,686.876213465048,519.1449333973553
Andhra Pradesh,2013,3.0,17.0,3.0,1758.2,0.1589819081445901,3.0,993.5839918048486,641.0035993628528,104.58123149871828,1758.2,0.1589819081445901,913.6324006911854,608.6153003003286
Andhra Pradesh,2014,2.0,4.0,3.0,1758.2,0.1589819081445901,7.0,654.8757134128524,432.5127371970726,86.82653789520263,1758.2,0.1589819081445901,993.5839918048486,641.0035993628528
Andhra Pradesh,2015,0.0,0.0,0.0,1758.2,0.1589819081445901,2.0,817.075284368642,572.208473365268,90.3064863204956,1758.2,0.1589819081445901,654.8757134128524,432.5127371970726
Andhra Pradesh,2016,1.0,20.0,30.0,2116.8,0.1914076346038382,1.0,841.9255258065203,680.9003123864532,95.28729915618896,1758.2,0.1589819081445901,817.075284368642,572.208473365268
Andhra Pradesh,2017,1.0,15.0,1.0,2116.8,0.1914076346038382,2.0,768.9375679052395,581.3569994426292,65.65251274108887,2116.8,0.1914076346038382,841.9255258065203,680.9003123864532
Andhra Pradesh,2018,1.0,6.0,1.0,2116.8,0.1914076346038382,7.0,700.8818581279205,551.5520591800628,79.74321060180664,2116.8,0.1914076346038382,768.9375679052395,581.3569994426292
Andhra Pradesh,2019,0.0,0.0,0.0,2116.8,0.1914076346038382,11.0,946.9372568554852,676.0427221578101,87.32390899658203,2116.8,0.1914076346038382,700.8818581279205,551.5520591800628
Andhra Pradesh,2020,1.0,0.0,1.0,2116.8,0.1914076346038382,4.0,1198.629403464172,848.5820678968145,109.0709192276001,2116.8,0.1914076346038382,946.9372568554852,676.0427221578101
Arunachal Pradesh,2001,1.0,5.0,62.0,8727.2,0.1383663693239895,0.0,1788.9645054245989,1148.9235747799278,78.49973705836705,,,,
Arunachal Pradesh,2002,1.0,0.0,1.0,8727.2,0.1383663693239895,0.0,2320.9420982937017,1625.7923916305106,92.913330078125,8727.2,0.1383663693239895,1788.9645054245989,1148.9235747799278
Arunachal Pradesh,2003,0.0,0.0,0.0,8727.2,0.1383663693239895,0.0,2566.3828964591025,1773.083316495021,101.30408995492118,8727.2,0.1383663693239895,2320.9420982937017,1625.7923916305106
Arunachal Pradesh,2004,1.0,11.0,13.0,8727.2,0.1383663693239895,0.0,2844.307573426763,1670.49236454914,92.06191880362374,8727.2,0.1383663693239895,2566.3828964591025,1773.083316495021
